Name,Cmpg,Hmpg,Eng,Cyl,Vol,Drive,Class
Jaguar XK 5L,16,24,5.0,8,0.84,R,MC
Jaguar XK Convertible 5L,16,22,5.0,8,0.84,R,MC
Kia Forte Koup 2.4L,23,31,2.4,4,1.02,F,CO
Kia Forte Koup 2L,25,34,2.0,4,1.02,F,CO
Kia Optima 2.4L,24,34,2.4,4,1.17,F,MI
Kia Optima 2L,22,34,2.0,4,1.17,F,MI
Kia Rio 1.6L,27,36,1.6,4,1.04,F,CO
Kia Rondo 2.4L,20,27,2.4,4,1.40,F,SW
Kia Rondo 2.7L,18,26,2.7,6,1.40,F,SW
Kia SOUL 1.6L,26,31,1.6,4,1.26,F,SW
Kia SOUL 2L,24,30,2.0,4,1.26,F,SW
Lexus ES 350 3.5L,19,27,3.5,6,1.10,F,MI
Lexus GS 350 3.5L,19,26,3.5,6,1.11,R,MI
Lexus GS 350 Awd 3.5L,18,25,3.5,6,1.11,A,MI
Lexus GS 460 4.6L,17,24,4.6,8,1.11,R,MI
Lexus IS 250 250C 2.5L,21,30,2.5,6,0.88,R,SC
Lexus IS 250 Awd 2.5L,20,27,2.5,6,0.99,A,SC
Lexus IS 350 350C 3.5L,20,27,3.5,6,0.88,R,SC
Lexus IS 350 Awd 3.5L,18,25,3.5,6,0.99,A,SC
Lexus IS F 5L,16,23,5.0,8,0.99,R,SC
Lexus LS 460 4.6L,16,24,4.6,8,1.17,R,MI
Lexus LS 460 Awd 4.6L,16,23,4.6,8,1.17,A,MI
Lexus LS 460 L 4.6L,16,24,4.6,8,1.16,R,MI
Lexus LS 460 L Awd 4.6L,16,23,4.6,8,1.16,A,MI
Lincoln-Mercury Grand Marquis FFV 4.6L,16,24,4.6,8,1.28,R,LA
Lincoln-Mercury Milan Awd FFV 3L,18,26,3.0,6,1.16,A,MI
Lincoln-Mercury Milan Fwd 2.5L,23,33,2.5,4,1.16,F,MI
Lincoln-Mercury Milan Fwd FFV 3L,20,28,3.0,6,1.16,F,MI
Lincoln-Mercury MKS Awd 3.5L,17,25,3.5,6,1.23,A,LA
Lincoln-Mercury MKS Awd 3.7L,16,23,3.7,6,1.23,A,LA
Lincoln-Mercury MKS Fwd 3.5L,17,24,3.5,6,1.23,F,LA
Lincoln-Mercury MKZ Awd 3.5L,17,24,3.5,6,1.15,4,MI
Lincoln-Mercury MKZ Fwd 3.5L,18,27,3.5,6,1.15,F,MI
Lincoln-Mercury Town Car FFV 4.6L,16,24,4.6,8,1.30,R,LA
Maserati Granturismo 4.2L,13,20,4.2,8,0.92,R,SC
Maserati Granturismo 4.7L,13,20,4.7,8,0.92,R,SC
Maserati Granturismo Convertible 4.7L,12,20,4.7,8,0.90,R,SC
Maserati Quattroporte 4.2L,12,20,4.2,8,1.29,R,LA
Maserati Quattroporte 4.7L,12,19,4.7,8,1.29,R,LA
Mazda 2 1.5L,27,33,1.5,4,1.00,F,CO
Mazda 3 2.5L,22,29,2.5,4,1.06,F,CO
Mazda 3 2L,24,33,2.0,4,1.06,F,CO
Mazda 6 2.5L,22,31,2.5,4,1.19,F,MI
Mazda 6 3.7L,18,27,3.7,6,1.19,F,MI
Mercedes C 300 3L,18,26,3.0,6,1.00,R,CO
